Time,CPU Time IRate [localhost:9545],CPU Time IRate [localhost:9546],CPU Time IRate [localhost:9547],CPU Time IRate [localhost:9548],CPU Time IRate [localhost:9549],CPU Time IRate [localhost:9550],CPU Time IRate [localhost:9551],CPU Time IRate [localhost:9552],CPU Time IRate [localhost:9553],CPU Time IRate [localhost:9554],CPU Time IRate [localhost:9555],CPU Time IRate [localhost:9556]
2020-03-22T23:58:30+11:00,0.063548824,0.07605065,0.075808305,0.078041062,0.075821074,0.076240168,0.018794933,0.013376608,0.013420726,0.014159445,0.020569791,0.021036733
2020-03-22T23:59:00+11:00,0.065008801,0.075161389,0.08031155,0.077228185,0.077765655,0.0743986,0.0145902,0.014203226,0.014489068,0.013544836,0.019705086,0.024578228
2020-03-22T23:59:30+11:00,0.064382626,0.077062346,0.078491,0.077337511,0.078002803,0.073870942,0.016563321,0.012038395,0.015489164,0.013956722,0.018366976,0.019839168
2020-03-23T00:00:00+11:00,0.064873516,0.073420039,0.077844487,0.074826667,0.075823635,0.075015133,0.0138328,0.013152554,0.013359771,0.013783429,0.0183228,0.021166589
2020-03-23T00:00:30+11:00,0.061712286,0.070741469,0.082852876,0.077683821,0.07651921,0.079312096,0.014585423,0.013660424,0.016290297,0.017240101,0.023427524,0.019809359
2020-03-23T00:01:00+11:00,0.065871991,0.07280108,0.077963202,0.075107867,0.082935267,0.074876733,0.014174345,0.012332667,0.01306604,0.01244891,0.017667489,0.021934155
2020-03-23T00:01:30+11:00,0.064270879,0.074261944,0.078594975,0.075278707,0.077835922,0.073819903,0.014385688,0.019058918,0.018967469,0.019392067,0.021420305,0.019736467
2020-03-23T00:02:00+11:00,0.064353467,0.070933471,0.086637576,0.0745956,0.079282961,0.075254831,0.015486194,0.012461036,0.015573742,0.01732562,0.016744084,0.020912467
2020-03-23T00:02:30+11:00,0.06610186,0.072234804,0.0818286,0.076133067,0.082097639,0.074438446,0.013584894,0.013781415,0.014671334,0.014792561,0.018632333,0.020688271
2020-03-23T00:03:00+11:00,0.063984797,0.073521632,0.0802898,0.075833067,0.079044142,0.072100473,0.014086696,0.013866382,0.013878568,0.012410721,0.0183994,0.0195584
2020-03-23T00:03:30+11:00,0.06330943,0.089341889,0.078557178,0.07775075,0.077325996,0.072752599,0.016192013,0.0198302,0.013940745,0.025516333,0.0197686,0.028496634
2020-03-23T00:04:00+11:00,0.062906127,0.068357429,0.079933,0.07130278,0.079187717,0.073161456,0.014658868,0.013762067,0.014181285,0.0141014,0.0172294,0.0199084
2020-03-23T00:04:30+11:00,0.069929395,0.073075805,0.081339155,0.077989136,0.141078919,0.071496034,0.013078461,0.065664001,0.015792575,0.013817994,0.024159256,0.0310294
2020-03-23T00:05:00+11:00,0.064865564,0.068207133,0.076185151,0.074752616,0.0759014,0.070402493,0.01403494,0.016327221,0.014213538,0.013677288,0.0184582,0.018839333
2020-03-23T00:05:30+11:00,0.065560429,0.066769246,0.086171267,0.077574162,0.075830799,0.070190533,0.0133532,0.012735888,0.013162512,0.0125108,0.017052596,0.020274922
2020-03-23T00:06:00+11:00,0.065386441,0.072455103,0.080221385,0.07425998,0.0775516,0.074321002,0.014224652,0.012037787,0.013057526,0.01475385,0.016572695,0.021579323
2020-03-23T00:06:30+11:00,0.063393467,0.068537098,0.07720692,0.078291667,0.071379545,0.070631733,0.013874675,0.012980008,0.022416372,0.012958936,0.016951203,0.01779748
2020-03-23T00:07:00+11:00,0.066421628,0.071835155,0.080527063,0.0730888,0.077224423,0.074745817,0.013811137,0.0127531,0.017168867,0.0128588,0.02530258,0.019180655
2020-03-23T00:07:30+11:00,0.061877125,0.072859219,0.0826436,0.0765714,0.075778942,0.0724266,0.020025065,0.016423962,0.018767098,0.018990403,0.018615867,0.020304446
2020-03-23T00:08:00+11:00,0.061069662,0.065271539,0.079213548,0.076123733,0.075335912,0.070088449,0.013394719,0.011608736,0.013515002,0.013886474,0.0166078,0.019906612
2020-03-23T00:08:30+11:00,0.065084867,0.069673845,0.076630383,0.074887408,0.077638989,0.072117208,0.013763533,0.034593679,0.013895095,0.012560155,0.026822333,0.0201858
2020-03-23T00:09:00+11:00,0.062293514,0.070104333,0.077614959,0.078612467,0.072243551,0.071163056,0.012566818,0.012086072,0.012597294,0.012706953,0.016933933,0.022379724
2020-03-23T00:09:30+11:00,0.063896333,0.070458775,0.07759456,0.071247234,0.075214943,0.069656533,0.013997134,0.014782481,0.014486933,0.012183842,0.017155067,0.029053063
2020-03-23T00:10:00+11:00,0.0659036,0.067472541,0.080387815,0.073985889,0.078588573,0.073036731,0.013805293,0.012648467,0.013091763,0.012913012,0.019330245,0.022011602
2020-03-23T00:10:30+11:00,0.061863582,0.068123925,0.08023376,0.073676022,0.074113897,0.072119808,0.0140952,0.012495034,0.01348557,0.014594227,0.018474403,0.019812067
2020-03-23T00:11:00+11:00,0.064716171,0.068389267,0.080986332,0.074457539,0.074167912,0.071078939,0.013747451,0.0161824,0.012785652,0.011758883,0.022532373,0.0195632
2020-03-23T00:11:30+11:00,0.060874125,0.066980067,0.075730738,0.075985932,0.074956475,0.070637672,0.013019463,0.011659112,0.014161378,0.012435142,0.017048533,0.0178828
2020-03-23T00:12:00+11:00,0.06152227,0.066917478,0.076807213,0.074399533,0.073302721,0.072025138,0.012555407,0.011934458,0.014087982,0.012813067,0.018622816,0.023205455
2020-03-23T00:12:30+11:00,0.06510008,0.068793028,0.077983538,0.074268364,0.076321733,0.070616877,0.01683691,0.013962128,0.026039131,0.012130525,0.0202534,0.0204802
2020-03-23T00:13:00+11:00,0.0614904,0.071505966,0.077814254,0.077033053,0.073106035,0.0769616,0.016071538,0.013747933,0.01238099,0.013224074,0.018653308,0.019419677
2020-03-23T00:13:30+11:00,0.0649408,0.067750533,0.077586161,0.071588388,0.073834566,0.071302954,0.013333133,0.019341423,0.012665422,0.013550727,0.019311396,0.021526624
2020-03-23T00:14:00+11:00,0.064607693,0.068565162,0.075214386,0.074499434,0.078507537,0.071108133,0.014621559,0.012123166,0.01269834,0.016425638,0.019929114,0.019916339
2020-03-23T00:14:30+11:00,0.062125142,0.066562696,0.075260267,0.077312333,0.071758368,0.069334533,0.012817933,0.012070595,0.013123858,0.014536498,0.018117765,0.0185342
2020-03-23T00:15:00+11:00,0.061231651,0.068422067,0.078188696,0.07795069,0.076222518,0.072058667,0.012111682,0.011508,0.012728218,0.011670867,0.017983134,0.0216766
2020-03-23T00:15:30+11:00,0.061197387,0.065282316,0.07653109,0.07294513,0.075726588,0.070750533,0.013970871,0.014486402,0.012103333,0.012121592,0.017655956,0.019147457
2020-03-23T00:16:00+11:00,0.064443289,0.070152159,0.081553393,0.077237267,0.079529251,0.07414561,0.023744519,0.017845554,0.0134354,0.017204906,0.017853839,0.021875766
2020-03-23T00:16:30+11:00,0.064664356,0.071591776,0.076860676,0.080081778,0.077996667,0.0750596,0.012486272,0.012744217,0.012492638,0.013136603,0.016273848,0.020693893
2020-03-23T00:17:00+11:00,0.061995467,0.068119051,0.078273127,0.079220533,0.07381517,0.073004199,0.014452703,0.011952006,0.013821333,0.013020199,0.019500966,0.021075395
2020-03-23T00:17:30+11:00,0.063614585,0.0687824,0.078299467,0.075742215,0.073265502,0.071890059,0.023753868,0.012999,0.012768872,0.012436467,0.017981463,0.021302026
2020-03-23T00:18:00+11:00,0.062041889,0.070988668,0.078711772,0.075024327,0.078404226,0.071940353,0.012937483,0.01159596,0.013074106,0.011856476,0.016685358,0.027010001
2020-03-23T00:18:30+11:00,0.062313242,0.066080261,0.074985403,0.073431532,0.071032691,0.069330623,0.014599374,0.014234784,0.020461569,0.013458933,0.017673512,0.019487967
2020-03-23T00:19:00+11:00,0.060398427,0.063361085,0.076316112,0.077476565,0.075735329,0.070943337,0.014373958,0.011939604,0.012623275,0.012281267,0.0161444,0.01879408
2020-03-23T00:19:30+11:00,0.059428286,0.064914939,0.073671043,0.074909158,0.07082065,0.068299667,0.011674605,0.011707,0.011856352,0.011666133,0.015184575,0.018756849
2020-03-23T00:20:00+11:00,0.058438408,0.066390933,0.077376317,0.073173333,0.074145057,0.070555845,0.012610933,0.012343556,0.013364218,0.012615164,0.016590733,0.018487533
2020-03-23T00:20:30+11:00,0.0631016,0.068659887,0.076224126,0.0774498,0.072355576,0.073373458,0.013059863,0.012014796,0.013785362,0.014782696,0.017091867,0.01848
2020-03-23T00:21:00+11:00,0.060573733,0.066286095,0.074855457,0.074571476,0.074029265,0.069573143,0.012884467,0.013304913,0.01202167,0.012591439,0.016471333,0.019544897
2020-03-23T00:21:30+11:00,0.063959525,0.068876158,0.078932929,0.077865649,0.072967118,0.073357467,0.0156612,0.012986134,0.013462995,0.012950137,0.017345198,0.022039128
2020-03-23T00:22:00+11:00,0.062934129,0.071680797,0.079613518,0.078390267,0.077073728,0.082237737,0.025480333,0.01235589,0.012974,0.012239365,0.019154923,0.020072353
2020-03-23T00:22:30+11:00,0.062924585,0.068541964,0.076981932,0.080491034,0.078179096,0.076286152,0.0130126,0.014456103,0.016178855,0.01370154,0.018992733,0.022404174
2020-03-23T00:23:00+11:00,0.065834411,0.070319333,0.08324725,0.077834489,0.078825435,0.074161712,0.014035931,0.0129364,0.023741514,0.012441926,0.01845065,0.019281694
2020-03-23T00:23:30+11:00,0.062832867,0.067845897,0.078989534,0.073540867,0.077268102,0.071329756,0.013678483,0.012349333,0.013219037,0.012026798,0.0177481,0.031475765
